prefix,resource,entry-number,organisation,reference,entity
statistical-geography,,,,E48000001,30001
statistical-geography,,,,E48000002,30002
statistical-geography,,,,E48000003,30003
statistical-geography,,,,E48000004,30004
statistical-geography,,,,E48000005,30005
statistical-geography,,,,E48000006,30006
statistical-geography,,,,E48000007,30007
statistical-geography,,,,E48000008,30008
statistical-geography,,,,E48000009,30009
statistical-geography,,,,E48000010,30010
statistical-geography,,,,E48000011,30011
statistical-geography,,,,E48000012,30012
statistical-geography,,,,E48000013,30013
statistical-geography,,,,E48000014,30014
statistical-geography,,,,E48000015,30015
statistical-geography,,,,E48000016,30016
statistical-geography,,,,E48000017,30017
statistical-geography,,,,E48000018,30018
statistical-geography,,,,E48000019,30019
statistical-geography,,,,E48000020,30020
statistical-geography,,,,E48000021,30021
statistical-geography,,,,E48000022,30022
statistical-geography,,,,E48000023,30023
statistical-geography,,,,E48000024,30024
statistical-geography,,,,E48000025,30025
statistical-geography,,,,E48000026,30026
statistical-geography,,,,E48000027,30027
statistical-geography,,,,E48000028,30028
statistical-geography,,,,E48000029,30029
statistical-geography,,,,E48000030,30030
statistical-geography,,,,E48000031,30031
statistical-geography,,,,E48000032,30032
statistical-geography,,,,E48000033,30033
statistical-geography,,,,E48000034,30034
statistical-geography,,,,E48000035,30035
statistical-geography,,,,E48000036,30036
statistical-geography,,,,E48000037,30037
statistical-geography,,,,E48000038,30038
statistical-geography,,,,E48000039,30039
statistical-geography,,,,E48000040,30040
